;Scopy version,f4beeb1
;Exported on,Wednesday May 22/05/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.03164,-0.0478725,1.70766
1,-0.03163,-0.0446984,1.60609
2,-0.03162,-0.0415243,1.495
3,-0.03161,-0.0383502,1.38232
4,-0.0316,-0.0335891,1.2617
5,-0.03159,-0.0335891,1.13791
6,-0.03158,-0.0288279,1.0046
7,-0.03157,-0.0288279,0.868114
8,-0.03156,-0.0256538,0.726867
9,-0.03155,-0.0193056,0.587207
10,-0.03154,-0.0193056,0.434851
11,-0.03153,-0.0161316,0.287255
12,-0.03152,-0.0129575,0.133312
13,-0.03151,-0.0113704,-0.0174575
14,-0.0315,-0.00978337,-0.169814
15,-0.03149,-0.00660928,-0.323757
16,-0.03148,-0.00343518,-0.471353
17,-0.03147,0.00132596,-0.617361
18,-0.03146,0.00132596,-0.760195
19,-0.03145,0.00608709,-0.903029
20,-0.03144,0.00767414,-1.03634
21,-0.03143,0.0124353,-1.16648
22,-0.03142,0.0124353,-1.29344
23,-0.03141,0.0156094,-1.41247
24,-0.0314,0.0187835,-1.52515
25,-0.03139,0.0203705,-1.63624
26,-0.03138,0.0267187,-1.7394
27,-0.03137,0.0267187,-1.83463
28,-0.03136,0.0298928,-1.92667
29,-0.03135,0.0330669,-2.00761
30,-0.03134,0.0346539,-2.08855
31,-0.03133,0.0394151,-2.15997
32,-0.03132,0.0394151,-2.22821
33,-0.03131,0.0425892,-2.28852
34,-0.0313,0.0489373,-2.34407
35,-0.03129,0.0489373,-2.39803
36,-0.03128,0.0521114,-2.44564
37,-0.03127,0.0552855,-2.48849
38,-0.03126,0.0584596,-2.53293
39,-0.03125,0.0600467,-2.56784
40,-0.03124,0.0632208,-2.60276
41,-0.03123,0.0663949,-2.6345
42,-0.03122,0.0679819,-2.66148
43,-0.03121,0.072743,-2.69004
44,-0.0312,0.0759171,-2.71226
45,-0.03119,0.0790912,-2.73131
46,-0.03118,0.0790912,-2.75194
47,-0.03117,0.0822653,-2.7694
48,-0.03116,0.0854394,-2.78685
49,-0.03115,0.0886135,-2.79796
50,-0.03114,0.0902006,-2.81383
51,-0.03113,0.0949617,-2.82336
